id,difficulty,question,gold_sql,gold_result_json,n_rows,order_sensitive
1,hard,What is the average number of runs scored per match (total runs across all deliveries divided by number of matches)? Give a single number.,SELECT (SELECT SUM(total_runs) FROM deliveries) * 1.0 / (SELECT COUNT(*) FROM matches) AS avg_runs_per_match,"{""columns"": [""avg_runs_per_match""], ""rows"": [[339.39426523297493]]}",1,FALSE
2,hard,Which batter has the highest boundary percentage - the share of their runs that came from fours and sixes - among batters with at least 500 total runs? Give the batter and the percentage.,"SELECT batter, 100.0 * SUM(CASE WHEN batsman_runs IN (4,6) THEN batsman_runs ELSE 0 END) / SUM(batsman_runs) AS boundary_pct FROM deliveries GROUP BY batter HAVING SUM(batsman_runs) >= 500 ORDER BY boundary_pct DESC LIMIT 1","{""columns"": [""batter"", ""boundary_pct""], ""rows"": [[""SP Narine"", 80.06230529595015]]}",1,FALSE
3,hard,How many players have scored at least 1000 total runs across these seasons?,SELECT COUNT(*) FROM ( SELECT batter FROM deliveries GROUP BY batter HAVING SUM(batsman_runs) >= 1000) t,"{""columns"": [""COUNT(*)""], ""rows"": [[30]]}",1,FALSE
4,hard,Which bowler bowled the most legal deliveries (exclude wides and no-balls)? Give the bowler and the ball count.,"SELECT bowler, COUNT(*) AS legal_balls FROM deliveries WHERE extras_type IS NULL OR extras_type NOT IN ('wides','noballs') GROUP BY bowler ORDER BY legal_balls DESC LIMIT 1","{""columns"": [""bowler"", ""legal_balls""], ""rows"": [[""YS Chahal"", 1391]]}",1,FALSE
5,hard,What is the highest individual score by a batter in a single match? Give the batter and the runs.,"SELECT batter, SUM(batsman_runs) AS match_runs FROM deliveries GROUP BY match_id, batter ORDER BY match_runs DESC LIMIT 1","{""columns"": [""batter"", ""match_runs""], ""rows"": [[""Q de Kock"", 140]]}",1,FALSE
6,hard,Which team has the most wins when batting second (i.e. the team that did NOT bat first won)? For each match the first-innings batting team is the batting_team in inning 1. Give the team and the wins.,"SELECT m.winner AS team, COUNT(*) AS wins FROM matches m WHERE m.winner IS NOT NULL AND m.winner != (SELECT DISTINCT d.batting_team FROM deliveries d WHERE d.match_id = m.id AND d.inning = 1) GROUP BY m.winner ORDER BY wins DESC LIMIT 1","{""columns"": [""team"", ""wins""], ""rows"": [[""Kolkata Knight Riders"", 19]]}",1,FALSE
7,hard,How many total runs were scored in the powerplay (overs 0 to 5 inclusive) across all matches?,SELECT SUM(total_runs) AS powerplay_runs FROM deliveries WHERE over BETWEEN 0 AND 5,"{""columns"": [""powerplay_runs""], ""rows"": [[28272]]}",1,FALSE
8,hard,Which batter scored the most runs in the death overs (overs 15 to 19 inclusive)? Give the batter and the runs.,"SELECT batter, SUM(batsman_runs) AS death_runs FROM deliveries WHERE over BETWEEN 15 AND 19 GROUP BY batter ORDER BY death_runs DESC LIMIT 1","{""columns"": [""batter"", ""death_runs""], ""rows"": [[""KD Karthik"", 742]]}",1,FALSE
9,brutal,"Among batters with at least 300 runs, who has the highest strike rate? Strike rate = runs off the bat / legal balls faced * 100, where legal balls exclude wides. Give the batter and the strike rate.","SELECT batter, 100.0 * SUM(batsman_runs) / SUM(CASE WHEN extras_type IS NULL OR extras_type != 'wides' THEN 1 ELSE 0 END) AS strike_rate FROM deliveries GROUP BY batter HAVING SUM(batsman_runs) >= 300 ORDER BY strike_rate DESC LIMIT 1","{""columns"": [""batter"", ""strike_rate""], ""rows"": [[""J Fraser-McGurk"", 234.04255319148936]]}",1,FALSE
10,brutal,Which bowler has the best economy rate (runs conceded per over of six legal balls) among bowlers who bowled at least 1000 legal balls? Legal balls exclude wides and no-balls. Give the bowler and the economy.,"SELECT bowler, 6.0 * SUM(total_runs) / SUM(CASE WHEN extras_type IS NULL OR extras_type NOT IN ('wides','noballs') THEN 1 ELSE 0 END) AS economy FROM deliveries GROUP BY bowler HAVING SUM(CASE WHEN extras_type IS NULL OR extras_type NOT IN ('wides','noballs') THEN 1 ELSE 0 END) >= 1000 ORDER BY economy ASC LIMIT 1","{""columns"": [""bowler"", ""economy""], ""rows"": [[""SP Narine"", 6.758139534883721]]}",1,FALSE
