question_id,question,query,db_name,query_category,order_sensitive
Q01,List the course IDs and titles of all courses in the 'Computer Science' department.,"SELECT course_id, title FROM course WHERE dept_name = 'Computer Science'",university,filter,False
Q02,List the names and salaries of instructors in the 'Finance' department who earn more than 70000.,"SELECT name, salary FROM instructor WHERE dept_name = 'Finance' AND salary > 70000",university,filter,False
Q03,"List the student IDs, names, and total credits of students who have at least 60 total credits.","SELECT id, name, total_credits FROM student WHERE total_credits >= 60",university,filter,False
Q04,"List the course IDs, titles, and credits of all 4-credit courses outside the 'Computer Science' department.","SELECT course_id, title, credits FROM course WHERE credits = 4 AND dept_name <> 'Computer Science'",university,filter,False
Q05,List each unique instructor name and course title pair for courses taught by that instructor.,"SELECT DISTINCT i.name AS instructor_name, c.title AS course_title FROM instructor AS i JOIN teaches AS t ON i.id = t.id JOIN course AS c ON t.course_id = c.course_id",university,join,False
Q06,"List the student name, course title, and grade for every course enrollment in Fall 2009.","SELECT s.name AS student_name, c.title AS course_title, tk.grade FROM student AS s JOIN takes AS tk ON s.id = tk.id JOIN course AS c ON tk.course_id = c.course_id WHERE tk.semester = 'Fall' AND tk.year = 2009",university,join,False
Q07,List the student IDs and names of students who took a specific course offering taught by instructor '10101'.,"SELECT DISTINCT s.id, s.name FROM student AS s JOIN takes AS tk ON s.id = tk.id JOIN teaches AS te ON tk.course_id = te.course_id AND tk.sec_id = te.sec_id AND tk.semester = te.semester AND tk.year = te.year WHERE te.id = '10101'",university,join,False
Q08,List each course ID and title together with the ID and title of its prerequisite course.,"SELECT c.course_id, c.title AS course_title, p.course_id AS prerequisite_id, p.title AS prerequisite_title FROM prereq AS pr JOIN course AS c ON pr.course_id = c.course_id JOIN course AS p ON pr.prereq_id = p.course_id",university,join,False
Q09,"For every course, show its course ID, title, and number of distinct enrolled students, including courses with zero students.","SELECT c.course_id, c.title, COUNT(DISTINCT t.id) AS num_students FROM course AS c LEFT JOIN takes AS t ON c.course_id = t.course_id GROUP BY c.course_id, c.title",university,agg,False
Q10,"For every department, show its name and number of instructors, including departments with zero instructors.","SELECT d.dept_name, COUNT(DISTINCT i.id) AS num_instructors FROM department AS d LEFT JOIN instructor AS i ON d.dept_name = i.dept_name GROUP BY d.dept_name",university,agg,False
Q11,"Show each department name and its average instructor salary, but only for departments whose average salary is above 70000.","SELECT dept_name, AVG(salary) AS avg_salary FROM instructor GROUP BY dept_name HAVING AVG(salary) > 70000",university,agg,False
Q12,"List the student IDs and names of students who have taken at least 3 distinct courses, along with the number of distinct courses taken.","SELECT s.id, s.name, COUNT(DISTINCT t.course_id) AS num_courses FROM student AS s JOIN takes AS t ON s.id = t.id GROUP BY s.id, s.name HAVING COUNT(DISTINCT t.course_id) >= 3",university,agg,False
Q13,"Show the top 3 courses by number of distinct enrolled students, returning course ID, title, and student count in descending count order; break ties by course ID ascending.","SELECT c.course_id, c.title, COUNT(DISTINCT t.id) AS num_students FROM course AS c LEFT JOIN takes AS t ON c.course_id = t.course_id GROUP BY c.course_id, c.title ORDER BY num_students DESC, c.course_id ASC LIMIT 3",university,order_by,True
Q14,"Show the 5 highest-paid instructors, returning instructor ID, name, and salary in descending salary order; break ties by instructor ID ascending.","SELECT id, name, salary FROM instructor ORDER BY salary DESC, id ASC LIMIT 5",university,order_by,True
Q15,List all departments with their budgets from highest budget to lowest; break ties by department name ascending.,"SELECT dept_name, budget FROM department ORDER BY budget DESC, dept_name ASC",university,order_by,True
Q16,"Show the top 3 students by total credits, returning student ID, name, and total credits in descending credit order; break ties by student ID ascending.","SELECT id, name, total_credits FROM student ORDER BY total_credits DESC, id ASC LIMIT 3",university,order_by,True
Q17,List the course IDs and titles of courses that have no student enrollments.,"SELECT c.course_id, c.title FROM course AS c WHERE NOT EXISTS (SELECT 1 FROM takes AS t WHERE t.course_id = c.course_id)",university,nested,False
Q18,List the instructor IDs and names of instructors who taught at least one course in both 2009 and 2010.,"SELECT i.id, i.name FROM instructor AS i WHERE EXISTS (SELECT 1 FROM teaches AS t1 WHERE t1.id = i.id AND t1.year = 2009) AND EXISTS (SELECT 1 FROM teaches AS t2 WHERE t2.id = i.id AND t2.year = 2010)",university,nested,False
Q19,List the names of departments that have no instructors.,SELECT d.dept_name FROM department AS d WHERE NOT EXISTS (SELECT 1 FROM instructor AS i WHERE i.dept_name = d.dept_name),university,nested,False
Q20,List the student IDs and names of students who have taken at least one course outside their own department.,"SELECT s.id, s.name FROM student AS s WHERE EXISTS (SELECT 1 FROM takes AS t JOIN course AS c ON t.course_id = c.course_id WHERE t.id = s.id AND c.dept_name <> s.dept_name)",university,nested,False
